Are dogs better than cats?;Did you study abroad?;Have aliens ever seen earth?;Have you ever had a paranormal experience?;Would you go to jail for to 19 years if it meant you receive $10 million?;Were you born in Michigan?;Did you want to come to class today?;Are you over 21 years old?;Would you accept your dream job and salary if it meant you could not communicate with friends and family for a year?;Did you eat breakfast this morning?;Have you traveled outside the US before?;Do you think you could win in a fight against 10 beavers?;Is a hot dog a sandwich?;Have you ever traveled to Europe?;Is political science, science?;Did you eat breakfast this morning?
No;Yes;Yes;No;No;No;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes
Yes;No;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes
No;No;No;No;No;Yes;Yes;No;Yes;No;Yes;Yes;No;Yes;Yes;No
Yes;No;Yes;No;No;Yes;Yes;Yes;Yes;No;Yes;No;Yes;No;Yes;No
No;Yes;No;No;No;No;Yes;Yes;No;Yes;Yes;No;Yes;Yes;Yes;Yes
No;No;Yes;No;No;No;Yes;No;No;No;Yes;No;Yes;No;Yes;No
Yes;Yes;Yes;No;No;No;No;Yes;No;No;Yes;Yes;No;Yes;Yes;No
No;No;No;Yes;No;Yes;No;No;No;Yes;Yes;No;No;No;No;Yes
Yes;No;Yes;No;No;Yes;Yes;No;Yes;Yes;No;No;No;No;Yes;Yes
Yes;Yes;No;No;No;No;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes
No;No;Yes;No;No;No;No;Yes;No;Yes;No;No;No;No;No;Yes
Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Yes;No;Yes;No;No;Yes;Yes;Yes;No;Yes;Yes;Yes;No;Yes;No;Yes
Yes;No;No;No;No;Yes;No;No;Yes;No;Yes;Yes;No;No;Yes;No
Yes;No;Yes;No;No;No;No;No;Yes;No;Yes;Yes;Yes;Yes;Yes;No
Yes;Yes;Yes;No;No;No;Yes;Yes;Yes;No;Yes;Yes;No;Yes;No;No
No;No;Yes;No;No;No;Yes;Yes;No;No;Yes;Yes;Yes;No;Yes;No
No;No;No;Yes;No;Yes;Yes;No;Yes;Yes;Yes;Yes;No;Yes;No;Yes
Yes;No;No;No;No;No;No;No;No;Yes;Yes;No;No;Yes;No;Yes
Yes;Yes;No;No;No;Yes;Yes;No;;Yes;Yes;No;No;Yes;Yes;Yes
Yes;No;Yes;No;No;No;No;No;Yes;Yes;Yes;No;Yes;No;Yes;Yes
Yes;No;No;No;No;No;Yes;Yes;Yes;No;Yes;Yes;No;Yes;No;No
No;Yes;Yes;No;No;No;Yes;Yes;No;No;Yes;Yes;Yes;Yes;Yes;Yes
Yes;No;No;No;No;No;No;Yes;No;Yes;Yes;No;Yes;Yes;No;Yes
Yes;No;Yes;No;No;No;Yes;No;No;No;Yes;Yes;Yes;Yes;No;No
Yes;No;Yes;No;No;No;No;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes
No;No;Yes;No;No;No;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes
No;No;No;No;No;Yes;No;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes
No;Yes;Yes;No;No;No;Yes;Yes;Yes;No;Yes;No;No;No;No;No
No;No;Yes;Yes;No;No;No;No;Yes;No;Yes;No;No;Yes;No;No
Yes;No;No;Yes;No;Yes;No;No;No;No;Yes;No;No;No;Yes;No
Yes;No;No;No;No;Yes;Yes;Yes;Yes;No;Yes;No;No;Yes;Yes;No
Yes;No;Yes;No;No;No;Yes;Yes;No;Yes;Yes;No;No;Yes;Yes;Yes
Yes;No;No;No;No;No;Yes;Yes;Yes;No;Yes;No;No;Yes;No;No
Yes;No;Yes;No;No;No;Yes;No;Yes;Yes;Yes;Yes;No;Yes;No;Yes
Yes;No;No;No;No;No;Yes;Yes;No;No;Yes;No;Yes;Yes;No;No
Yes;No;Yes;Yes;No;No;No;Yes;No;No;Yes;Yes;No;No;No;No
No;No;No;No;No;Yes;Yes;No;Yes;No;Yes;No;Yes;Yes;Yes;No
Yes;No;Yes;No;No;No;No;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Yes
Yes;No;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Yes
No;No;Yes;Yes;No;No;Yes;No;Yes;No;Yes;Yes;No;Yes;Yes;No
