"Timestamp","Are you picturing a pink elephant?","Do you think you could win in a fight against 10 beavers?","Are hot dogs a sandwich?","Do you like football saturdays?","Have you gone to EVERY football game this semester?","Have you seen Game of Thrones?","Do you get 7 hours of sleep or more per night?","Did you go to the football game this weekend?","Do you have relatives that have been made forcibly disappeared by government agents?","Do you like watching Michigan football?"
"2023/09/25 1:45:07 PM AST","No","No","Yes","Yes","No","No","No","No","No","Yes"
"2023/09/25 1:45:08 PM AST","Yes","Yes","Yes","No","No","No","Yes","No","Yes","No"
"2023/09/25 1:45:10 PM AST","Yes","No","No","Yes","No","No","No","No","No","Yes"
"2023/09/25 1:45:22 PM AST","No","No","No","Yes","Yes","No","Yes","Yes","No","Yes"
"2023/09/25 1:45:46 PM AST","Yes","No","No","No","No","No","No","No","No","No"
"2023/09/25 1:45:46 PM AST","No","Yes","No","Yes","Yes","Yes","No","Yes","No","Yes"
"2023/09/25 1:46:21 PM AST","No","Yes","No","Yes","No","No","Yes","Yes","No","Yes"
"2023/09/25 1:48:23 PM AST","No","No","No","Yes","No","No","Yes","Yes","No","Yes"
"2023/09/25 1:49:04 PM AST","Yes","No","No","Yes","Yes","No","No","Yes","No","Yes"
"2023/09/25 1:50:39 PM AST","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023/09/25 1:51:19 PM AST","Yes","No","Yes","Yes","No","Yes","No","No","No","No"
"2023/09/25 1:51:41 PM AST","Yes","No","Yes","No","No","No","No","No","Yes","Yes"
"2023/09/25 1:52:12 PM AST","Yes","No","No","Yes","Yes","No","No","Yes","No","Yes"
"2023/09/25 1:52:34 PM AST","Yes","No","Yes","Yes","No","No","No","Yes","No","Yes"
"2023/09/25 1:53:08 PM AST","Yes","No","No","Yes","No","No","No","No","No","No"
"2023/09/25 1:55:13 PM AST","No","No","Yes","Yes","No","No","No","No","No","Yes"
"2023/09/25 1:55:46 PM AST","No","No","No","Yes","Yes","Yes","No","Yes","No","Yes"
"2023/09/25 1:55:53 PM AST","No","No","No","Yes","No","Yes","Yes","Yes","No","Yes"
"2023/09/25 1:56:36 PM AST","No","Yes","No","Yes","No","Yes","No","No","No","Yes"
"2023/09/25 1:58:41 PM AST","Yes","Yes","No","Yes","No","Yes","No","No","No","Yes"
"2023/09/25 1:58:52 PM AST","No","Yes","No","Yes","No","No","Yes","Yes","No","Yes"
"2023/09/25 1:59:11 PM AST","No","Yes","Yes","Yes","No","Yes","No","No","Yes","Yes"
"2023/09/25 1:59:24 PM AST","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes"
"2023/09/25 1:59:29 PM AST","Yes","No","No","Yes","Yes","Yes","No","Yes","No","Yes"
"2023/09/25 1:59:30 PM AST","No","No","No","No","No","Yes","Yes","No","No","No"
"2023/09/25 1:59:44 PM AST","Yes","No","No","Yes","Yes","No","Yes","Yes","No","Yes"
"2023/09/25 1:59:45 PM AST","No","No","Yes","Yes","No","No","No","No","No","Yes"
"2023/09/25 1:59:49 PM AST","Yes","No","Yes","Yes","No","No","No","No","No","Yes"
"2023/09/25 1:59:55 PM AST","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes"
"2023/09/25 2:00:05 PM AST","Yes","No","Yes","Yes","No","No","Yes","Yes","No","Yes"
"2023/09/25 2:00:20 PM AST","No","Yes","Yes","Yes","No","No","Yes","Yes","No","Yes"
"2023/09/25 2:00:28 PM AST","No","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes"
"2023/09/25 2:00:30 PM AST","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes","Yes"
"2023/09/25 2:00:32 PM AST","Yes","No","No","No","No","No","No","No","No","No"
"2023/09/25 2:00:38 PM AST","No","No","No","Yes","No","No","Yes","Yes","No","Yes"
"2023/09/25 2:00:44 PM AST","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes"
"2023/09/25 2:01:10 PM AST","Yes","No","No","Yes","No","Yes","No","No","No","Yes"
"2023/09/25 2:01:54 PM AST","Yes","Yes","No","Yes","No","No","No","No","No","Yes"
