Country,Capital,Latitud,Logitud
Afghanistan,Kabul,34.28,69.11
Albania,Tirane,41.18,19.49
Algeria,Algiers,36.42,3.08
American Samoa,Pago Pago,14.16,170.43
Andorra,Andorra la Vella,42.31,1.32
Angola,Luanda,8.5,13.15
Antigua and Barbuda,West Indies,17.2,61.48
Argentina,Buenos Aires,36.3,60
Armenia,Yerevan,40.1,44.31
Aruba,Oranjestad,12.32,70.02
Australia,Canberra,35.15,149.08
Austria,Vienna,48.12,16.22
Azerbaijan,Baku,40.29,49.56
Bahamas,Nassau,25.05,77.2
Bahrain,Manama,26.1,50.3
Bangladesh,Dhaka,23.43,90.26
Barbados,Bridgetown,13.05,59.3
Belarus,Minsk,53.52,27.3
Belgium,Brussels,50.51,4.21
Belize,Belmopan,17.18,88.3
Benin,Porto Novo (constitutional) / Cotonou (seat of government),6.23,2.42
Bhutan,Thimphu,27.31,89.45
Bolivia,La Paz (administrative) / Sucre (legislative),16.2,68.1
Bosnia and Herzegovina,Sarajevo,43.52,18.26
Botswana,Gaborone,24.45,25.57
Brazil,Brasilia,15.47,47.55
British Virgin Islands,Road Town,18.27,64.37
Brunei Darussalam,Bandar Seri Begawan,4.52,115
Bulgaria,Sofia,42.45,23.2
Burkina Faso,Ouagadougou,12.15,1.3
Burundi,Bujumbura,3.16,29.18
Cambodia,Phnom Penh,11.33,104.55
Cameroon,Yaounde,3.5,11.35
Canada,Ottawa,45.27,75.42
Cape Verde,Praia,15.02,23.34
Cayman Islands,George Town,19.2,81.24
Central African Republic,Bangui,4.23,18.35
Chad,N'Djamena,12.1,14.59
Chile,Santiago,33.24,70.4
China,Beijing,39.55,116.2
Colombia,Bogota,4.34,74
Comros,Moroni,11.4,43.16
Congo,Brazzaville,4.09,15.12
Costa Rica,San Jose,9.55,84.02
Cote d'Ivoire,Yamoussoukro,6.49,5.17
Croatia,Zagreb,45.5,15.58
Cuba,Havana,23.08,82.22
Cyprus,Nicosia,35.1,33.25
Czech Republic,Prague,50.05,14.22
Democratic Republic of the Congo,Kinshasa,4.2,15.15
Denmark,Copenhagen,55.41,12.34
Djibouti,Djibouti,11.08,42.2
Dominica,Roseau,15.2,61.24
Dominica Republic,Santo Domingo,18.3,69.59
East Timor,Dili,8.29,125.34
Ecuador,Quito,0.15,78.35
Egypt,Cairo,30.01,31.14
El Salvador,San Salvador,13.4,89.1
Equatorial Guinea,Malabo,3.45,8.5
Eritrea,Asmara,15.19,38.55
Estonia,Tallinn,59.22,24.48
Ethiopia,Addis Ababa,9.02,38.42
Falkland Islands (Malvinas),Stanley,51.4,59.51
Faroe Islands,Torshavn,62.05,6.56
Fiji,Suva,18.06,178.3
Finland,Helsinki,60.15,25.03
France,Paris,48.5,2.2
French Guiana,Cayenne,5.05,52.18
French Polynesia,Papeete,17.32,149.34
Gabon,Libreville,0.25,9.26
Gambia,Banjul,13.28,16.4
Georgia,T'bilisi,41.43,44.5
Germany,Berlin,52.3,13.25
Ghana,Accra,5.35,0.06
Greece,Athens,37.58,23.46
Greenland,Nuuk,64.1,51.35
Guadeloupe,Basse-Terre,16,61.44
Guatemala,Guatemala,14.4,90.22
Guernsey,St. Peter Port,49.26,2.33
Guinea,Conakry,9.29,13.49
Guinea-Bissau,Bissau,11.45,15.45
Guyana,Georgetown,6.5,58.12
Haiti,Port-au-Prince,18.4,72.2
Heard Island and McDonald Islands,,53,74
Honduras,Tegucigalpa,14.05,87.14
Hungary,Budapest,47.29,19.05
Iceland,Reykjavik,64.1,21.57
India,New Delhi,28.37,77.13
Indonesia,Jakarta,6.09,106.49
Iran (Islamic Republic of),Tehran,35.44,51.3
Iraq,Baghdad,33.2,44.3
Ireland,Dublin,53.21,6.15
Israel,Jerusalem,31.71,35.1
Italy,Rome,41.54,12.29
Jamaica,Kingston,18,76.5
Jordan,Amman,31.57,35.52
Kazakhstan,Astana,51.1,71.3
Kenya,Nairobi,1.17,36.48
Kiribati,Tarawa,1.3,173
Kuwait,Kuwait,29.3,48
Kyrgyzstan,Bishkek,42.54,74.46
Lao People's Democratic Republic,Vientiane,17.58,102.36
Latvia,Riga,56.53,24.08
Lebanon,Beirut,33.53,35.31
Lesotho,Maseru,29.18,27.3
Liberia,Monrovia,6.18,10.47
Libyan Arab Jamahiriya,Tripoli,32.49,13.07
Liechtenstein,Vaduz,47.08,9.31
Lithuania,Vilnius,54.38,25.19
Luxembourg,Luxembourg,49.37,6.09
"Macao, China",Macau,22.12,113.33
Madagascar,Antananarivo,18.55,47.31
Macedonia (Former Yugoslav Republic),Skopje,42.01,21.26
Malawi,Lilongwe,14,33.48
Malaysia,Kuala Lumpur,3.09,101.41
Maldives,Male,4,73.28
Mali,Bamako,12.34,7.55
Malta,Valletta,35.54,14.31
Martinique,Fort-de-France,14.36,61.02
Mauritania,Nouakchott,20.1,57.3
Mayotte,Mamoudzou,12.48,45.14
Mexico,Mexico,19.2,99.1
Micronesia (Federated States of),Palikir,6.55,158.09
"Moldova, Republic of",Chisinau,47.02,28.5
Mozambique,Maputo,25.58,32.32
Myanmar,Yangon,16.45,96.2
Namibia,Windhoek,22.35,17.04
Nepal,Kathmandu,27.45,85.2
Netherlands,Amsterdam / The Hague (seat of Government),52.23,4.54
Netherlands Antilles,Willemstad,12.05,69
New Caledonia,Noumea,22.17,166.3
New Zealand,Wellington,41.19,174.46
Nicaragua,Managua,12.06,86.2
Niger,Niamey,13.27,2.06
Nigeria,Abuja,9.05,7.32
Norfolk Island,Kingston,45.2,168.43
North Korea,Pyongyang,39.09,125.3
Northern Mariana Islands,Saipan,15.12,145.45
Norway,Oslo,59.55,10.45
Oman,Masqat,23.37,58.36
Pakistan,Islamabad,33.4,73.1
Palau,Koror,7.2,134.28
Panama,Panama,9,79.25
Papua New Guinea,Port Moresby,9.24,147.08
Paraguay,Asuncion,25.1,57.3
Peru,Lima,12,77
Philippines,Manila,14.4,121.03
Poland,Warsaw,52.13,21
Portugal,Lisbon,38.42,9.1
Puerto Rico,San Juan,18.28,66.07
Qatar,Doha,25.15,51.35
Republic of Korea,Seoul,37.31,126.58
Romania,Bucuresti,44.27,26.1
Russian Federation,Moskva,55.45,37.35
Rawanda,Kigali,1.59,30.04
Saint Kitts and Nevis,Basseterre,17.17,62.43
Saint Lucia,Castries,14.02,60.58
Saint Pierre and Miquelon,Saint-Pierre,46.46,56.12
Saint Vincent and the Greenadines,Kingstown,13.1,61.1
Samoa,Apia,13.5,171.5
San Marino,San Marino,43.55,12.3
Sao Tome and Principe,Sao Tome,0.1,6.39
Saudi Arabia,Riyadh,24.41,46.42
Senegal,Dakar,14.34,17.29
Sierra Leone,Freetown,8.3,13.17
Slovakia,Bratislava,48.1,17.07
Slovenia,Ljubljana,46.04,14.33
Solomon Islands,Honiara,9.27,159.57
Somalia,Mogadishu,2.02,45.25
South Africa,Pretoria (administrative) / Cape Town (legislative) / Bloemfontein (judicial),25.44,28.12
Spain,Madrid,40.25,3.45
Sudan,Khartoum,15.31,32.35
Suriname,Paramaribo,5.5,55.1
Swaziland,Mbabane (administrative),26.18,31.06
Sweden,Stockholm,59.2,18.03
Switzerland,Bern,46.57,7.28
Syrian Arab Republic,Damascus,33.3,36.18
Tajikistan,Dushanbe,38.33,68.48
Thailand,Bangkok,13.45,100.35
Togo,Lome,6.09,1.2
Tonga,Nuku'alofa,21.1,174
Tunisia,Tunis,36.5,10.11
Turkey,Ankara,39.57,32.54
Turkmenistan,Ashgabat,38,57.5
Tuvalu,Funafuti,8.31,179.13
Uganda,Kampala,0.2,32.3
Ukraine,Kiev,50.3,30.28
